,lat,lon,months_open,num_items_sold,state_pop
245,30.425845,-84.250808,12,7,19893297.0
246,30.442585,-97.606001,6,19,26956958.0
247,30.442914,-91.106984,12,6,4649676.0
248,30.447785,-84.285882,12,15,19893297.0
249,30.452022,-91.185794,12,22,4649676.0
250,30.46163,-91.138976,3,2,4649676.0
251,30.461756,-91.149114,6,13,4649676.0
252,30.461953,-84.279874,12,12,19893297.0
253,30.464775,-84.287205,12,15,19893297.0
254,30.469242,-97.806344,12,24,26956958.0
255,30.479322,-90.038913,12,18,4649676.0
256,30.481312,-92.694897,9,14,4649676.0
257,30.515238,-91.155456,6,6,4649676.0
258,30.524435,-87.901975,3,13,4849377.0
259,30.537101,-84.214843,12,7,19893297.0
260,30.543434,-97.550922,10,16,26956958.0
261,30.546388,-83.869492,10,16,19893297.0
262,30.557445,-97.687978,12,19,26956958.0
263,30.561622,-97.68575,12,12,26956958.0
264,30.561622,-97.68575,12,12,26956958.0
265,30.579786,-81.454531,12,15,19893297.0
266,30.594183,-87.309144,6,14,19893297.0
267,30.603977,-87.183559,12,17,19893297.0
268,30.620565,-92.765978,12,10,4649676.0
269,30.630276,-97.693631,12,13,26956958.0
270,30.639167,-97.678083,12,11,26956958.0
271,30.6609,-88.0961,3,2,4849377.0
272,30.671008,-81.459582,12,23,19893297.0
273,30.687975,-92.271516,6,6,4649676.0
274,30.689057,-88.174004,3,0,4849377.0
275,30.723087,-95.550467,3,12,26956958.0
276,30.775235,-85.225285,5,13,19893297.0
277,30.788032,-91.379436,12,7,4649676.0
278,30.798683,-86.701281,12,19,19893297.0
279,30.8138,-83.2644,12,10,10097343.0
280,30.832295,-83.279103,6,15,10097343.0
281,30.8355,-83.9714,12,8,10097343.0
282,30.907397,-84.575521,3,15,10097343.0
283,30.911375,-93.995247,7,13,26956958.0
284,31.035239,-91.979567,6,12,4649676.0
285,31.065162,-92.044134,12,11,4649676.0
286,31.0708,-98.185,12,0,26956958.0
287,31.072721,-97.683103,6,16,26956958.0
288,31.114568,-90.141028,7,17,2994079.0
289,31.12706,-92.06615,1,14,4649676.0
290,31.194503,-85.374928,3,5,4849377.0
291,31.206709,-83.245211,9,13,10097343.0
292,31.223592,-85.390463,2,15,4849377.0
293,31.232252,-85.449944,3,8,4849377.0
294,31.23258,-92.424126,12,25,4649676.0
295,31.235752,-82.381851,7,14,10097343.0
296,31.244763,-90.451993,6,14,2994079.0
297,31.251987,-89.836115,9,15,2994079.0
298,31.294132,-92.466449,12,11,4649676.0
299,31.307349,-85.714656,2,8,4849377.0
300,31.312869,-89.47346,11,11,2994079.0
301,31.313773,-85.855052,12,11,4849377.0
302,31.321061,-94.697749,12,16,26956958.0
303,31.324433,-89.287734,8,20,2994079.0
304,31.335533,-110.939547,7,10,6731484.0
305,31.344282,-83.499763,12,11,10097343.0
306,31.407193,-109.878248,12,21,6731484.0
307,31.414706,-86.065699,12,11,4849377.0
308,31.433057,-86.956701,5,12,4849377.0
309,31.452692,-83.508489,6,12,10097343.0
310,31.464378,-83.533784,7,12,10097343.0
311,31.520867,-84.86605,12,15,10097343.0
312,31.525223,-83.835655,6,6,10097343.0
313,31.552031,-110.303322,12,14,6731484.0
314,31.555329,-110.266951,12,24,6731484.0
315,31.55682,-97.132941,12,20,26956958.0
316,31.571271,-85.250365,2,0,4849377.0
317,31.57684,-84.15366,8,5,10097343.0
318,31.577228,-90.443865,4,11,2994079.0
319,31.610032,-81.882137,7,9,10097343.0
320,31.615182,-111.307724,12,12,6731484.0
321,31.64705,-85.674054,12,7,4849377.0
322,31.692522,-89.130033,3,17,2994079.0
323,31.707814,-85.619065,12,10,4849377.0
324,31.709834,-87.776726,6,7,4849377.0
325,31.713647,-83.251846,12,2,10097343.0
326,31.756883,-106.494288,12,23,26956958.0
327,31.760976,-93.086021,4,14,4649676.0
328,31.791358,-106.557437,8,22,2085572.0
329,31.809192,-85.971383,7,4,4849377.0
330,31.820457,-92.328323,4,4,4649676.0
331,31.830281,-86.617709,8,13,4849377.0
332,31.861084,-90.394263,6,12,2994079.0
333,31.868208,-110.993448,8,22,6731484.0
334,31.922803,-97.657307,6,12,26956958.0
335,31.926686,-92.640699,3,7,4649676.0
336,31.969911,-110.968242,12,23,6731484.0
337,31.987521,-90.358772,1,10,2994079.0
338,31.993215,-102.092413,7,17,26956958.0
339,32.001493,-106.376996,5,4,2085572.0
340,32.022129,-80.965299,4,21,10097343.0
341,32.06498,-81.09717,12,18,10097343.0
342,32.072463,-84.236501,3,11,10097343.0
343,32.07741,-82.896739,12,9,10097343.0
344,32.127833,-110.723595,12,17,6731484.0
345,32.130564,-81.263666,10,17,10097343.0
346,32.131024,-80.801225,9,15,4832482.0
347,32.187698,-80.718946,3,15,4832482.0
348,32.188882,-110.92521,12,9,6731484.0
349,32.201081,-83.176423,12,15,10097343.0
350,32.219902,-110.985706,7,21,6731484.0
351,32.232565,-110.952241,4,25,6731484.0
352,32.234811,-80.862568,12,18,4832482.0
353,32.240123,-110.946013,12,26,6731484.0
354,32.247147,-110.853253,12,16,6731484.0
355,32.247165,-110.853261,8,17,6731484.0
