,state,lon,lat,months_open,num_items_sold,state_pop,name
201,Florida,30.170729,-85.701673,12.0,13.0,19893297.0,
202,Louisiana,30.172242,-93.25038,12.0,15.0,4649676.0,
203,Texas,30.192299,-98.086445,12.0,19.0,26956958.0,
204,Florida,30.192525,-82.635341,12.0,12.0,19893297.0,
205,Louisiana,30.2036,-92.0156,12.0,9.0,4649676.0,
206,Louisiana,30.204901,-92.042045,12.0,20.0,4649676.0,
207,Louisiana,30.223058,-92.658289,8.0,6.0,4649676.0,
208,Louisiana,30.22645,-93.21766,12.0,15.0,4649676.0,
209,Louisiana,30.230054,-93.376929,4.0,12.0,4649676.0,
210,Texas,30.230386,-97.808943,12.0,27.0,26956958.0,
211,Florida,30.244424,-85.648127,9.0,11.0,19893297.0,
212,Alabama,30.250746,-87.65585,10.0,8.0,4849377.0,
213,Texas,30.262002,-97.72728,12.0,16.0,26956958.0,
214,Texas,30.267913,-97.747272,12.0,25.0,26956958.0,
215,Texas,30.27608,-98.873134,7.0,11.0,26956958.0,
216,Texas,30.276812,-96.479015,4.0,9.0,26956958.0,
217,Florida,30.279017,-86.002754,1.0,25.0,19893297.0,
218,Louisiana,30.28138,-89.788781,12.0,18.0,4649676.0,
219,Louisiana,30.284513,-92.023018,12.0,13.0,4649676.0,
220,Texas,30.296586,-97.70729,12.0,24.0,26956958.0,
221,Florida,30.297164,-82.981363,12.0,19.0,19893297.0,
222,Texas,30.30567,-97.942188,12.0,18.0,26956958.0,
223,Florida,30.314978,-81.397288,12.0,24.0,19893297.0,
224,Florida,30.316494,-81.67629,12.0,24.0,19893297.0,
225,Mississippi,30.316973,-89.239334,12.0,15.0,2994079.0,
226,Louisiana,30.317346,-92.046885,5.0,18.0,4649676.0,
227,Florida,30.31994,-86.137203,5.0,14.0,19893297.0,
228,Florida,30.322482,-87.417362,5.0,10.0,19893297.0,
229,Florida,30.333572,-81.68844,12.0,15.0,19893297.0,
230,Florida,30.334741,-86.169608,1.0,25.0,19893297.0,
231,Texas,30.347313,-97.370726,12.0,18.0,26956958.0,
232,Florida,30.347529,-86.230806,12.0,18.0,19893297.0,
233,Mississippi,30.349761,-89.150573,12.0,18.0,2994079.0,
234,Mississippi,30.364058,-89.090178,7.0,17.0,2994079.0,
235,Mississippi,30.365755,-88.556127,4.0,11.0,2994079.0,
236,Florida,30.370478,-81.684693,12.0,13.0,19893297.0,
237,Florida,30.37786,-86.332098,12.0,9.0,19893297.0,
238,Florida,30.379153,-86.313655,1.0,22.0,19893297.0,
239,Texas,30.388243,-98.085816,6.0,11.0,26956958.0,
240,Florida,30.396821,-84.231797,12.0,8.0,19893297.0,
241,Mississippi,30.39759,-88.89497,12.0,12.0,2994079.0,
242,Louisiana,30.399743,-91.121582,12.0,20.0,4649676.0,
243,Alabama,30.407081,-87.683301,2.0,14.0,4849377.0,
244,Mississippi,30.4151,-88.8274,12.0,19.0,2994079.0,
245,Florida,30.425845,-84.250808,12.0,7.0,19893297.0,
246,Texas,30.442585,-97.606001,6.0,19.0,26956958.0,
247,Louisiana,30.442914,-91.106984,12.0,6.0,4649676.0,
248,Florida,30.447785,-84.285882,12.0,15.0,19893297.0,
249,Louisiana,30.452022,-91.185794,12.0,22.0,4649676.0,
250,Louisiana,30.46163,-91.138976,3.0,2.0,4649676.0,
251,Louisiana,30.461756,-91.149114,6.0,13.0,4649676.0,
252,Florida,30.461953,-84.279874,12.0,12.0,19893297.0,
